0796,2,2,488
0798,1,1,490
0799,1,1,491
08,19,8,492
0800,1,1,500
0804,1,1,501
0810,1,1,502
0813,1,1,503
0817,1,1,504
0819,2,2,505
0824,1,1,507
0826,1,1,508
083000,1,1,509
0830est,1,1,510
083400,2,2,511
0834est,2,2,513
083600,1,1,515
0836est,1,1,516
0837,1,1,517
0838,1,1,518
084400,2,2,519
0844est,2,2,521
084500,1,1,523
0845est,1,1,524
084600,1,1,525
0846est,1,1,526
0847,1,1,527
084700,1,1,528
0847est,1,1,529
084800,1,1,530
0848est,1,1,531
0851,1,1,532
085100,1,1,533
0851est,1,1,534
085200,2,2,535
0852edt,1,1,537
0852est,1,1,538
0853,1,1,539
0855,1,1,540
085500,1,1,541
0855edt,1,1,542
0857,1,1,543
085800,2,2,544
0858est,2,2,546
0859,1,1,548
0863,1,1,549
0877,1,1,550
0880,1,1,551
0882,1,1,552
0887,1,1,553
0890,1,1,554
0895,1,1,555
09,9,3,556
0902,1,1,559
090400,1,1,560
0904est,1,1,561
090500,1,1,562
0905est,1,1,563
090800,2,2,564
0908edt,1,1,566
0908est,1,1,567
0910,1,1,568
091000,1,1,569
0910est,1,1,570
091200,1,1,571
0912edt,1,1,572
0913,2,2,573
091400,1,1,575
0914est,1,1,576
091500,1,1,577
0915edt,1,1,578
091600,1,1,579
0916est,1,1,580
091800,2,2,581
0918est,2,2,583
0919,1,1,585
091900,1,1,586
0919est,1,1,587
092,1,1,588
0920,2,2,589
092000,2,2,591
0920edt,1,1,593
0920est,1,1,594
092100,1,1,595
0921est,1,1,596
092200,2,2,597
0922edt,1,1,599
0922est,1,1,600
092300,1,1,601
0923est,1,1,602
092400,1,1,603
0924edt,1,1,604
0930,1,1,605
093400,3,3,606
0934est,3,3,609
0938,2,2,612
094400,1,1,614
0944est,1,1,615
095800,1,1,616
0958edt,1,1,617
095900,1,1,618
0959est,1,1,619
0973,2,2,620
0988,1,1,622
0998,1,1,623
10,518,196,624
100,30,27,820
1000,6,5,847
10000,11,11,852
100000,15,13,863
10021998,1,1,876
10025,1,1,877
10031998,14,14,878
10041998,8,8,892
10051998,3,3,900
10061998,2,2,903
10081998,1,1,905
101,1,1,906
10101998,1,1,907
10121998,1,1,908
10141998,3,3,909
10161998,1,1,912
101700,1,1,913
10171998,4,4,914
1017est,1,1,918
10181998,2,2,919
1019,1,1,921
102,6,6,922
10201998,1,1,928
1021,1,1,929
10211998,2,2,930
10221998,1,1,932
10231998,3,3,933
10241998,4,4,936
10251998,8,8,940
10261998,3,3,948
10271998,2,2,951
10281998,2,2,953
102900,1,1,955
10291998,2,2,956
1029edt,1,1,958
103,7,7,959
1030,2,2,966
10301998,4,4,968
10311998,4,4,972
1034,1,1,976
1034edt,1,1,977
1035,1,1,978
1036,26,26,979
10375,1,1,1005
1038,1,1,1006
1038est,1,1,1007
1039,1,1,1008
1039est,1,1,1009
104,5,5,1010
1045,2,2,1015
1046,1,1,1017
1047,1,1,1018
105,2,2,1019
106,4,4,1021
1061,1,1,1025
1064,1,1,1026
1066,1,1,1027
1081,1,1,1028
109,2,2,1029
1093,1,1,1031
1097,1,1,1032
10th,7,5,1033
10thld,2,2,1038
11,267,130,1040
110,4,4,1170
1100,4,4,1174
11011998,3,3,1178
1102,1,1,1181
11021998,1,1,1182
11031998,1,1,1183
11041998,7,7,1184
11051998,3,3,1191
11061998,7,7,1194
11071998,5,5,1201
1109,3,3,1206
1109edt,1,1,1209
111,14,10,1210
11101998,2,2,1220
11111998,1,1,1222
11121998,2,2,1223
11131998,3,3,1225
111400,1,1,1228
11141998,1,1,1229
1114est,1,1,1230
11151998,1,1,1231
1116,1,1,1232
11161998,1,1,1233
11171998,3,3,1234
111900,1,1,1237
11191998,1,1,1238
1119est,1,1,1239
112,2,2,1240
1120,2,2,1242
11201998,1,1,1244
1121,2,2,1245
112100,2,2,1247
1121est,2,2,1249
1122,1,1,1251
112200,1,1,1252
11221998,3,3,1253
1122edt,1,1,1256
1122est,1,1,1257
1123,1,1,1258
11231998,6,6,1259
1123edt,1,1,1265
11241998,3,3,1266
11251998,7,7,1269
11261998,3,3,1276
11291998,3,3,1279
113,1,1,1282
11301998,2,2,1283
113500,1,1,1285
1135edt,1,1,1286
113700,2,2,1287
1137est,2,2,1289
1138,1,1,1291
114,1,1,1292
1143,2,2,1293
1143edt,1,1,1295
114500,2,2,1296
1145edt,1,1,1298
1145est,1,1,1299
114700,1,1,1300
1147est,1,1,1301
1148,1,1,1302
114800,1,1,1303
1148est,1,1,1304
115400,1,1,1305
1154est,1,1,1306
115500,1,1,1307
1155edt,1,1,1308
115700,1,1,1309
1157est,1,1,1310
115800,1,1,1311
1158est,1,1,1312
115900,1,1,1313
1159est,1,1,1314
1163,1,1,1315
1165,1,1,1316
11851,1,1,1317
11th,1,1,1318
12,142,73,1319
120,3,3,1392
1200,6,5,1395
12000,1,1,1400
1201,3,3,1401
120100,1,1,1404
1201edt,1,1,1405
120200,1,1,1406
12021998,4,4,1407
1202est,1,1,1411
1203,1,1,1412
12031998,4,4,1413
1203est,1,1,1417
12041998,1,1,1418
12051998,3,3,1419
120600,1,1,1422
12061998,4,4,1423
1206est,1,1,1427
12081998,4,4,1428
1210,1,1,1432
1210edt,1,1,1433
121100,1,1,1434
1211est,1,1,1435
1212,1,1,1436
121500,2,2,1437
1215edt,2,2,1439
12161998,1,1,1441
1218,1,1,1442
121800,1,1,1443
1218est,1,1,1444
1219,2,2,1445
122000,1,1,1447
12201998,1,1,1448
1220edt,1,1,1449
122100,1,1,1450
1221edt,1,1,1451
122500,1,1,1452
1225est,1,1,1453
12291998,2,2,1454
1230,1,1,1456
123000,1,1,1457
12301998,2,2,1458
1230edt,1,1,1460
123100,1,1,1461
12311998,1,1,1462
1231est,1,1,1463
1234,2,2,1464
123400,1,1,1466
1234edt,1,1,1467
123500,1,1,1468
1235est,1,1,1469
1236,1,1,1470
1240,1,1,1471
1240524,2,2,1472
124300,1,1,1474
1243est,1,1,1475
124800,1,1,1476
1248edt,1,1,1477
124900,1,1,1478
1249est,1,1,1479
125,1,1,1480
125400,1,1,1481
1254est,1,1,1482
1258,3,3,1483
1258edt,1,1,1486
125900,1,1,1487
1259edt,1,1,1488
127,1,1,1489
1288,1,1,1490
129,4,2,1491
12986,1,1,1493
12th,2,2,1494
13,49,37,1496
130,5,5,1533
13000,2,2,1538
130300,1,1,1540
1303edt,1,1,1541
1309,1,1,1542
1309edt,1,1,1543
131,1,1,1544
1318,1,1,1545
1318est,1,1,1546
132,1,1,1547
133,1,1,1548
134,3,3,1549
1346,2,2,1552
1346edt,2,2,1554
135,4,3,1556
13500,1,1,1559
1358,1,1,1560
1358edt,1,1,1561
1359,1,1,1562
137,1,1,1563
137000,1,1,1564
1389,1,1,1565
1393,1,1,1566
13th,6,5,1567
14,52,38,1572
140,1,1,1610
1400,1,1,1611
140200,1,1,1612
1402edt,1,1,1613
142500,1,1,1614
1425est,1,1,1615
142600,1,1,1616
1426est,1,1,1617
142700,1,1,1618
1427est,1,1,1619
143,1,1,1620
1430,2,1,1621
143000,1,1,1622
1430est,1,1,1623
145100,1,1,1624
1451est,1,1,1625
1461,1,1,1626
14th,1,1,1627
15,64,46,1628
150,16,15,1674
1500,3,3,1689
15000,5,4,1692
150000,3,3,1696
1500edt,1,1,1699
150200,1,1,1700
1502est,1,1,1701
150300,1,1,1702
1503est,1,1,1703
150400,1,1,1704
1504est,1,1,1705
151,1,1,1706
151100,1,1,1707
1511est,1,1,1708
152,3,3,1709
153000,1,1,1712
1530est,1,1,1713
1534,1,1,1714
1540,1,1,1715
1540edt,1,1,1716
1541,1,1,1717
1541est,1,1,1718
1542,1,1,1719
154600,1,1,1720
1546edt,1,1,1721
154700,1,1,1722
1547edt,1,1,1723
154900,1,1,1724
1549est,1,1,1725
155,3,3,1726
155000,2,2,1729
155400,1,1,1731
1554est,1,1,1732
156,3,2,1733
15700,1,1,1735
159,1,1,1736
15th,3,2,1737
15thld,1,1,1739
16,61,43,1740
160,3,3,1783
1600,2,2,1786
160000,2,2,1788
1600edt,1,1,1790
1601,1,1,1791
160100,1,1,1792
1601edt,1,1,1793
1601est,1,1,1794
161,2,2,1795
1610,1,1,1797
1610est,1,1,1798
162,7,6,1799
162400,1,1,1805
1624edt,1,1,1806
162500,2,2,1807
1625est,2,2,1809
163400,1,1,1811
1634edt,1,1,1812
164100,1,1,1813
1641est,1,1,1814
1646,1,1,1815
1646est,1,1,1816
1647,1,1,1817
1647edt,1,1,1818
164900,1,1,1819
1649est,1,1,1820
165800,1,1,1821
1658edt,1,1,1822
165900,1,1,1823
1659est,1,1,1824
1667,1,1,1825
167,5,5,1826
168,1,1,1831
1682882,2,2,1832
17,78,53,1834
170,1,1,1887
17000,1,1,1888
170300,1,1,1889
1703est,1,1,1890
170900,1,1,1891
1709est,1,1,1892
171600,1,1,1893
1716est,1,1,1894
1722,1,1,1895
1722edt,1,1,1896
1724,1,1,1897
173,2,2,1898
1735edt,1,1,1900
174,1,1,1901
1741,1,1,1902
1741edt,1,1,1903
1742edt,1,1,1904
174400,1,1,1905
1744edt,1,1,1906
1749,2,2,1907
1749edt,1,1,1909
1749est,1,1,1910
1750,2,2,1911
1750edt,1,1,1913
175100,1,1,1914
1751edt,1,1,1915
1752,2,2,1916
1752edt,1,1,1918
1752est,1,1,1919
1755,1,1,1920
175500,1,1,1921
1755edt,1,1,1922
1757,1,1,1923
175700,1,1,1924
1757edt,2,2,1925
176,4,4,1927
177,2,2,1931
17th,4,4,1933
18,77,52,1937
180,2,2,1989
1800,1,1,1991
18000,1,1,1992
180000,1,1,1993
1801,1,1,1994
1801edt,1,1,1995
1807,1,1,1996
1807edt,2,2,1997
1808,2,2,1999
1808est,2,2,2001
1819,1,1,2003
1819est,1,1,2004
182,3,3,2005
1821,1,1,2008
1826,1,1,2009
1826est,1,1,2010
18295,1,1,2011
1830,2,2,2012
1830edt,1,1,2014
1831,1,1,2015
1831est,1,1,2016
1833,1,1,2017
1833edt,1,1,2018
1837,1,1,2019
1837est,1,1,2020
1843,1,1,2021
1843est,1,1,2022
1845,1,1,2023
1845est,1,1,2024
1849,1,1,2025
1849edt,1,1,2026
185,1,1,2027
1858,1,1,2028
1858edt,1,1,2029
1859,1,1,2030
1859edt,1,1,2031
186,1,1,2032
1865,1,1,2033
187,1,1,2034
1890,1,1,2035
18th,5,3,2036
18thld,2,2,2039
19,24,17,2041
190,2,2,2058
1900,4,4,2060
19000,2,2,2064
1902,1,1,2066
1902est,1,1,2067
1909,1,1,2068
1909est,1,1,2069
1911,1,1,2070
1913,1,1,2071
1917,1,1,2072
1917edt,1,1,2073
1918,2,2,2074
1918edt,2,2,2076
1920,3,3,2078
1920edt,2,2,2081
1921,1,1,2083
1936,1,1,2084
194,1,1,2085
1941,6,6,2086
1942,6,6,2092
1943,7,7,2098
1946,2,2,2105
1948,1,1,2107
1949,2,2,2108
1950,1,1,2110
1951,2,2,2111
1952,1,1,2113
1952est,1,1,2114
1953,1,1,2115
1953est,1,1,2116
1960,14,13,2117
1961,1,1,2130
1964,1,1,2131
1965,1,1,2132
1966,9,6,2133
1967,1,1,2139
1968,1,1,2140
1970,6,6,2141
1972,1,1,2147
1973,13,10,2148
1974,2,2,2158
1975,8,8,2160
1976,12,9,2168
1978,9,9,2177
1979,8,8,2186
1980,17,12,2194
1981,3,3,2206
1982,2,2,2209
1983,6,6,2211
1984,16,10,2217
1986,7,7,2227
1987,2,2,2234
1988,20,18,2236
1989,13,13,2254
1990,26,18,2267
1991,19,19,2285
1992,35,23,2304
1993,26,17,2327
1994,49,37,2344
1995,43,30,2381
1996,45,38,2411
1997,22,19,2449
1998,134,128,2468
1999,12,9,2596
19th,2,1,2605
19thld,1,1,2606
1st,69,35,2607
1stadd,1,1,2642
1stl,2,2,2643
1stld,49,43,2645
20,90,71,2688
200,28,25,2759
2000,20,18,2784
20000,4,4,2802
200000,1,1,2806
2001,2,2,2807
2001edt,1,1,2809
2002,1,1,2810
2002est,1,1,2811
2008,1,1,2812
2008edt,1,1,2813
2009,1,1,2814
2009est,1,1,2815
2012,1,1,2816
2012est,1,1,2817
2013,1,1,2818
2013est,1,1,2819
2018,1,1,2820
2018edt,1,1,2821
2022,1,1,2822
2022est,1,1,2823
2031,2,2,2824
2031edt,2,2,2826
2034,1,1,2828
2034edt,1,1,2829
2036,1,1,2830
2036edt,1,1,2831
2038,1,1,2832
2038edt,1,1,2833
2040,2,2,2834
2040edt,1,1,2836
2040est,1,1,2837
2043,1,1,2838
2043edt,1,1,2839
2044,1,1,2840
2044est,1,1,2841
2046,1,1,2842
2046edt,1,1,2843
2047,1,1,2844
2047edt,1,1,2845
2051,1,1,2846
2051edt,1,1,2847
2055,2,2,2848
2055est,2,2,2850
2057,1,1,2852
2057est,1,1,2853
2058,2,2,2854
2058edt,2,2,2856
209,1,1,2858
2098,1,1,2859
20th,3,2,2860
20thld,1,1,2862
21,53,33,2863
210,1,1,2896
2100,2,2,2897
21000,1,1,2899
210000,1,1,2900
2100est,1,1,2901
2101,4,4,2902
2101edt,4,4,2906
2102,1,1,2910
2102edt,1,1,2911
2105,2,2,2912
2105edt,2,2,2914
2109,1,1,2916
2109est,1,1,2917
2112,1,1,2918
2112edt,1,1,2919
2116,1,1,2920
2116est,1,1,2921
212,3,3,2922
2121,1,1,2925
2121edt,1,1,2926
2124,4,4,2927
2124edt,4,4,2931
2125,1,1,2935
2125est,1,1,2936
213,1,1,2937
2131,2,2,2938
2131edt,1,1,2940
2135,1,1,2941
2135edt,1,1,2942
2137,1,1,2943
2137edt,1,1,2944
214,3,3,2945
2147,1,1,2948
2147est,1,1,2949
2148,1,1,2950
2148edt,1,1,2951
2152,1,1,2952
2152edt,1,1,2953
